$Csv,:,,02_97_DD_1X,Lam,Son,JOC,,,

Depth,DTCO3,DTSH5,ECGR,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH
M,us/ft,.,GAPI,.,in,.,g/cm3,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,v/v
1166.9268,93.3892,175.6315,116.1747,222.4489,12.1003,0.8325,2.2568,0.6045,0.748,0.801,0.8544,0.9597,1.1583,0.3429,0.2899
1167.0792,92.6338,173.7605,116.4777,222.425,12.1263,0.8334,2.2492,0.6054,0.7685,0.8357,0.8928,1.0019,1.2325,0.3363,0.3093
1167.2316,93.1558,173.1284,115.2856,222.4011,12.1792,0.8343,2.2344,0.5649,0.7126,0.8067,0.8664,0.9746,1.2251,0.319,0.3244
1167.384,93.593,173.7101,110.7784,222.3773,12.2907,0.8353,2.22,0.5355,0.6683,0.7699,0.8295,0.9299,1.1812,0.3175,0.3231
1167.5364,94.2186,176.9378,109.2099,222.3535,12.283,0.8362,2.2129,0.541,0.6753,0.7927,0.8655,0.9697,1.2525,0.3225,0.3032
1167.6888,93.7096,178.1285,108.7906,222.3298,12.2903,0.8372,2.2011,0.5077,0.6229,0.7244,0.8119,0.9059,1.175,0.3282,0.2818
1167.8412,95.3265,179.4212,110.3492,222.3061,12.3216,0.8381,2.1797,0.5014,0.6103,0.7052,0.8011,0.891,1.1602,0.3403,0.2789
1167.9936,96.2584,188.4276,111.6162,222.2825,12.4144,0.839,2.1661,0.5125,0.62,0.7129,0.8189,0.9108,1.1892,0.3156,0.2862
1168.146,101.0777,189.6472,116.2554,222.259,12.3797,0.84,2.1601,0.4511,0.5422,0.6208,0.7181,0.8012,1.0454,0.2651,0.3016
1168.2984,101.0777,195.7031,123.4342,222.2355,12.8319,0.8409,2.1645,0.425,0.5094,0.5846,0.6762,0.757,0.9881,0.223,0.3206
1168.4508,103.3592,198.7574,127.8234,222.212,13.156,0.8418,2.1572,0.4132,0.4937,0.5642,0.6511,0.7329,0.9534,0.2092,0.3306
1168.6032,104.6701,204.0648,127.3432,222.1886,13.384,0.8428,2.1447,0.3963,0.4663,0.5304,0.6089,0.6909,0.8917,0.2031,0.3447
1168.7556,105.4015,211.3373,125.3081,222.1653,13.4687,0.8437,2.1293,0.3937,0.4633,0.5239,0.5977,0.68,0.8722,0.2056,0.3634
1168.908,107.5091,215.703,127.0397,222.142,13.4546,0.8446,2.116,0.3905,0.4667,0.5252,0.5962,0.6813,0.8723,0.2,0.3539
1169.0604,108.2977,226.3882,129.6857,222.1187,13.5363,0.8456,2.1086,0.38,0.4561,0.517,0.585,0.6714,0.8626,0.1967,0.3463
1169.2128,108.2977,229.2026,134.7511,222.0955,13.6863,0.8465,2.1058,0.365,0.4404,0.504,0.5695,0.6561,0.8475,0.1925,0.3506
1169.3652,109.4924,232.8775,134.0151,222.0724,13.6796,0.8475,2.104,0.3548,0.4298,0.498,0.5625,0.651,0.8478,0.1904,0.3843
1169.5176,109.9116,234.9078,136.8613,222.0493,13.792,0.8484,2.1035,0.352,0.4228,0.4938,0.5592,0.6524,0.8549,0.188,0.3939
1169.67,109.6156,236.1809,137.4031,222.0262,13.7093,0.8493,2.1043,0.3537,0.4218,0.4933,0.5604,0.6557,0.8626,0.183,0.3894
1169.8224,109.6156,235.8292,136.5598,222.0033,13.7086,0.8503,2.1048,0.3515,0.4208,0.4918,0.5609,0.6594,0.8704,0.1864,0.3826
1169.9748,109.4389,235.6247,133.5896,221.9803,13.6554,0.8512,2.1005,0.3527,0.4234,0.4948,0.5669,0.6684,0.8865,0.1846,0.3898
1170.1272,108.8507,235.1831,128.9833,221.9574,13.6246,0.8522,2.1028,0.3501,0.4195,0.4916,0.5664,0.6706,0.8932,0.1856,0.3949
1170.2796,107.6931,233.8555,128.8762,221.9346,13.6711,0.8531,2.1063,0.3482,0.4168,0.4886,0.5621,0.6679,0.8899,0.1834,0.398
1170.432,107.6931,232.1596,130.3211,221.9118,13.6821,0.854,2.1112,0.353,0.4191,0.4912,0.5636,0.6714,0.8935,0.1958,0.4321
1170.5844,107.3459,228.3822,130.5029,221.8891,13.6263,0.855,2.1182,0.357,0.4232,0.4964,0.5701,0.6815,0.9093,0.2011,0.4589
1170.7368,107.5364,226.7465,129.0653,221.8664,13.5724,0.8559,2.1219,0.367,0.4323,0.5037,0.578,0.693,0.9227,0.2099,0.45
1170.8892,107.361,226.2856,126.1993,221.8437,13.3384,0.8568,2.1264,0.3741,0.4399,0.5115,0.5866,0.7054,0.9395,0.2116,0.4065
1171.0416,107.6483,226.0918,128.2486,221.8211,13.2939,0.8578,2.1216,0.3794,0.4434,0.5153,0.59,0.7107,0.9465,0.2136,0.3823
1171.194,107.999,225.3876,132.0739,221.7986,13.1656,0.8587,2.1153,0.3805,0.4449,0.5191,0.5952,0.7185,0.9612,0.2172,0.3789
1171.3464,107.6856,225.2358,133.8761,221.7761,13.0541,0.8597,2.1098,0.3599,0.4198,0.4898,0.5634,0.6811,0.9122,0.2106,0.3805
