$Ascii,:,02_97_DD_2X,Esstar,04/06/2018,,

Depth,DTCO3,DTSH3,DTSH6,ECGR,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH
M,US/F,US/F,US/F,GAPI,Deg,IN,Deg,G/C3,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,V/V
1132.1796,120.1921,183.47,261.0174,64.0857,5.1826,12.5519,0.745,4.6288,0.0185,0.0143,0.0113,0.008,0.0049,0.0048,0.031,0.565
1132.332,120.8127,183.2515,261.1866,60.553,5.1872,12.5556,0.7437,4.6288,0.0162,0.0123,0.0095,0.0064,0.0034,0.0034,0.0316,0.5306
1132.4844,120.9629,183.019,261.1756,57.5905,5.1919,12.5556,0.7423,4.6149,0.0202,0.0152,0.0119,0.0085,0.0052,0.005,0.0306,0.5169
1132.6368,121.068,183.2937,262.9319,56.7939,5.1966,12.5556,0.7409,4.5942,0.0178,0.0135,0.0103,0.007,0.0038,0.0037,0.0305,0.4908
1132.7892,121.237,183.0866,263.1262,59.2759,5.2013,12.5556,0.7395,4.5893,0.0211,0.0161,0.0129,0.0096,0.0063,0.0061,0.0302,0.5233
1132.9416,121.4331,182.7046,263.3423,59.031,5.2061,12.563,0.7382,4.6032,0.018,0.0138,0.0108,0.0076,0.0047,0.0046,0.0302,0.5283
1133.094,121.8396,182.505,263.8616,58.9157,5.2108,12.5704,0.7368,4.6239,0.0178,0.0138,0.0109,0.0079,0.005,0.0049,0.03,0.5511
1133.2464,122.0452,182.2041,263.758,59.6358,5.2156,12.5408,0.7354,4.6245,0.0189,0.0147,0.0115,0.0081,0.0049,0.0048,0.0339,0.5052
1133.3988,122.3676,182.1142,263.7803,61.4508,5.2204,12.5408,0.734,4.6192,0.0173,0.0134,0.0106,0.0075,0.0046,0.0045,0.0347,0.5322
1133.5512,122.6158,181.9826,263.8167,62.2439,5.2252,12.5482,0.7327,4.6192,0.0192,0.015,0.012,0.0088,0.0058,0.0056,0.0347,0.5048
1133.7036,122.4174,182.0729,265.3187,62.0402,5.23,12.5852,0.7313,4.6235,0.0193,0.0148,0.0119,0.0088,0.0059,0.0058,0.0361,0.5113
1133.856,122.3068,181.8438,266.4741,62.0292,5.2349,12.5704,0.7299,4.6288,0.0185,0.0144,0.0114,0.0083,0.0054,0.0053,0.0353,0.4824
1134.0084,122.0474,182.036,267.3987,61.8814,5.2397,12.5704,0.7285,4.6288,0.0212,0.0163,0.0128,0.0092,0.0057,0.0056,0.0418,0.4943
1134.1608,122.2861,181.9631,266.933,61.7317,5.2446,12.5408,0.7272,4.6288,0.0164,0.0127,0.0097,0.0064,0.0034,0.0033,0.0352,0.4585
1134.3132,122.3326,182.8722,267.3256,61.1748,5.2495,12.5408,0.7258,4.6288,0.0202,0.0153,0.0119,0.0084,0.0051,0.005,0.0352,0.447
1134.4656,122.2537,183.1636,269.7063,62.0011,5.2544,12.5556,0.7244,4.3051,0.0153,0.0119,0.0091,0.0061,0.0033,0.0033,0.03,0.4268
1134.618,122.4491,183.319,270.8018,63.4076,5.2594,12.5556,0.7231,3.4336,0.0192,0.0148,0.0116,0.0082,0.005,0.0049,0.03,0.4534
1134.7704,122.5307,183.7106,270.837,61.87,5.2643,12.5556,0.7217,2.5589,0.0233,0.0181,0.0145,0.0109,0.0074,0.0072,0.03,0.4761
1134.9228,122.5118,183.9796,270.714,63.5251,5.2693,12.5408,0.7203,2.0049,0.0187,0.014,0.0109,0.0076,0.0045,0.0044,0.0309,0.4882
1135.0752,122.4984,183.7358,270.8073,62.3583,5.2743,12.5408,0.7189,2.0089,0.0164,0.0126,0.0098,0.0067,0.0039,0.0039,0.0313,0.4929
1135.2276,122.3942,183.8424,270.4485,63.8313,5.2793,12.563,0.7176,2.0192,0.0137,0.0105,0.0078,0.0047,0.0022,0.0021,0.0313,0.5063
1135.38,122.2384,183.835,269.8737,61.7403,5.2843,12.5556,0.7162,2.0334,0.0178,0.0136,0.0105,0.0071,0.0039,0.0039,0.0331,0.4822
1135.5324,122.0622,183.8433,268.575,60.3284,5.2894,12.563,0.7148,2.028,0.0212,0.0165,0.0133,0.01,0.0068,0.0066,0.033,0.4606
1135.6848,121.9408,183.7171,266.6608,61.7202,5.2945,12.5556,0.7134,2.0057,0.0183,0.0145,0.012,0.0094,0.007,0.0068,0.0352,0.4332
1135.8372,121.7387,183.4042,265.6994,64.9525,5.2996,12.5408,0.7121,2.572,0.023,0.0179,0.0144,0.011,0.0076,0.0074,0.0319,0.4844
1135.9896,121.6998,183.4581,264.8831,68.1714,5.3047,12.5408,0.7107,3.4449,0.0178,0.0139,0.011,0.0079,0.005,0.0049,0.032,0.5327
1136.142,121.4963,183.5338,264.3385,66.914,5.3098,12.5408,0.7093,4.3122,0.0213,0.0165,0.0133,0.01,0.0068,0.0067,0.0301,0.6101
1136.2944,121.4221,183.4197,265.1456,67.0171,5.3149,12.5482,0.7079,4.6095,0.0155,0.0124,0.0097,0.0067,0.0041,0.004,0.0301,0.5817
1136.4468,121.2253,183.0236,268.9912,63.3928,5.3201,12.5408,0.7066,4.6095,0.0167,0.0129,0.01,0.0068,0.0038,0.0038,0.03,0.6052
1136.5992,121.2073,182.9609,272.938,61.5589,5.3253,12.5408,0.7052,4.6288,0.0165,0.0128,0.0098,0.0066,0.0036,0.0036,0.0322,0.5243
1136.7516,121.5486,181.9409,274.2903,59.3765,5.3305,12.5408,0.7038,4.6288,0.0172,0.0134,0.0104,0.0072,0.0043,0.0042,0.0322,0.4973
1136.904,121.8583,181.6029,273.2867,60.1765,5.3357,12.5519,0.7024,4.6288,0.0185,0.0141,0.011,0.0076,0.0045,0.0044,0.0325,0.501
1137.0564,122.0877,181.0557,281.8155,58.3823,5.341,12.563,0.7011,4.6288,0.0173,0.0131,0.0101,0.0067,0.0037,0.0036,0.0338,0.5027
