datasetName,TWT,BVW_DUAL,CALI,DENS,DEPR,GAMM,LN_RHOV,NEUT,PHIT_D,RFC,RHOV,RUNSUM_DC,SONI,SSON,SSON_2,SWT_DUAL,SWT_DUAL_UNCL,TVD,VSH_GR
,ms,v/v,IN,G/C3,OHMM,GAPI,ampl,FRAC,v/v,ampl,g.m/cm3.s,ampl,US/F,US/F,US/F,v/v,v/v,FT,v/v
GQC_old,1254,-9999,-9999,-9999,-9999,108.0469,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3842.5,-9999
GQC_old,1255,-9999,-9999,-9999,-9999,113.5377,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3846,-9999
GQC_old,1256,-9999,-9999,-9999,-9999,111.8069,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3849,-9999
GQC_old,1257,-9999,-9999,-9999,-9999,109.9362,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3852.5,-9999
GQC_old,1258,-9999,-9999,-9999,-9999,109.4592,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3855.5,-9999
GQC_old,1259,-9999,-9999,-9999,-9999,111.8154,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3859,-9999
GQC_old,1260,-9999,-9999,-9999,-9999,114.1969,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3862,-9999
GQC_old,1261,-9999,-9999,-9999,-9999,112.9092,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3865.5,-9999
GQC_old,1262,-9999,-9999,-9999,-9999,114.1515,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3869,-9999
GQC_old,1263,-9999,-9999,-9999,-9999,112.5292,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3872,-9999
GQC_old,1264,-9999,-9999,-9999,-9999,109.6877,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3875.5,-9999
GQC_old,1265,-9999,-9999,-9999,-9999,111.04,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3878.5,-9999
GQC_old,1266,-9999,-9999,-9999,-9999,109.0169,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3882,-9999
GQC_old,1267,-9999,-9999,-9999,-9999,105.95,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3885,-9999
